Work Title,Name Translations,Name Aliases,Authorities,Composer,Opus/Catalogue Number,I-Catalogue Number,Key,Movements/Sections,Year/Date of Composition,First Publication,Librettist,Language,Copyright Information,Dedication,Average Duration,Composer Time Period,Piece Style,url
Allein Gott in der Höh' sei Ehr',,,,"Bach, Johann Sebastian",BWV 711 ; BC K 140,IJB 908,G major,1 chorale prelude,1708–17,,,,,,,Baroque,Baroque,"https://imslp.org/wiki/Allein_Gott_in_der_H%C3%B6h%27_sei_Ehr%27,_BWV_711_(Bach,_Johann_Sebastian)"
Allein Gott in der Höh sei Ehr,,,,"Vetter, Nicolaus",Emans 22 ; BWV Anh.III 172 ; (BWV 771),INV 1,G major,17 variations,1735?,1893,,,,,,Baroque,Baroque,"https://imslp.org/wiki/Allein_Gott_in_der_H%C3%B6h_sei_Ehr%27,_BWV_771_(Bach,_Johann_Sebastian)"
Allein Gott in der Höh sei Ehr,,,,"Bach, Johann Sebastian",BWV 260 ; BC F 10.1,IJB 16,G major,1 chorale,1725 or before,"1735 in
Choralsätze der Sammlung Dietel
(No.2)","Nikolaus Decius
(1485-1541)
Martin Luther
(1483-1546)",German,,,,Baroque,Baroque,"https://imslp.org/wiki/Allein_Gott_in_der_H%C3%B6h_sei_Ehr,_BWV_260_(Bach,_Johann_Sebastian)"
Allein Gott in der Höh sei Ehr,,,,"Bach, Johann Sebastian","BWV 662, 662a ; BC K 85",IJB 888,A major,1 chorale prelude (53 bars),"1747-48 in
18 Chorale Preludes
(No.12)",1846 or before,,,,,,Baroque,Baroque,"https://imslp.org/wiki/Allein_Gott_in_der_H%C3%B6h_sei_Ehr,_BWV_662a_(Bach,_Johann_Sebastian)"
Allein Gott in der Höh sei Ehr,,,,"Bach, Johann Sebastian","BWV 663, 663a ; BC K 86",IJB 889,G major,1 chorale prelude (127 bars),"1747-48 as part of
18 Chorale Preludes
, BWV 651-668 (No.13)",1846 or before,,,,,,Baroque,Baroque,"https://imslp.org/wiki/Allein_Gott_in_der_H%C3%B6h_sei_Ehr,_BWV_663a_(Bach,_Johann_Sebastian)"
"Allein zu dir, Herr Jesu Christ",Allein zu dir,,"WorldCat
;
Wikipedia
;
VIAF
:
184267981
;
LCCN
:
n82096215
;
GND
:
300247648
;
BNF
:
139095778","Bach, Johann Sebastian",BWV 33 ; BC A 127,IJB 17,A minor,"6 movements:
Chorus: Allein zu dir, Herr Jesu Christ (A minor)
Recitativo (bass): Mein Gott und Richter (E minor-G major)
Aria (alto): Wie furchstam wankten meine Schritte (C major)
Recitativo (tenor): Mein Gott, verwirf mich nicht (A minor)
Duet Aria (tenor, bass): Gott, der du die Liebe heißt (E minor)
Chorale: Ehr sei Gott in dem höchsten Thron (A minor)","1724 in Leipzig
First Perf
ormance
.
1724-09-03 in Leipzig",1857 (BGA),"see below
Konrad Hubert
(1507-1577) (Nos.1, 6)
Anonymous (Nos.2-5)",German,,13th Sunday after Trinity,27 minutes,Baroque,Baroque,"https://imslp.org/wiki/Allein_zu_dir,_Herr_Jesu_Christ,_BWV_33_(Bach,_Johann_Sebastian)"
"Allein zu dir, Herr Jesu Christ",,,,"Bach, Johann Sebastian",BWV 1100 ; BC K 171 ; Emans 26,IJB 1027,C major,1 chorale,1703-07?,"1790 ca. in the
Neumeister Chorales
, BWV 1090-1120 (No.12)",,,,,,Baroque,Baroque,"https://imslp.org/wiki/Allein_zu_dir,_Herr_Jesu_Christ,_BWV_1100_(Bach,_Johann_Sebastian)"
"Allein zu dir, Herr Jesu Christ",,,,"Bach, Johann Sebastian",BWV 261 ; BC F 11.1,IJB 1147,B minor,1 chorale,1725 or before,"1787 in
Chörale der Sammlung C.P.E. Bach nach dem Druck von 1784-1787
(No.358)","Konrad Hubert
(1507-1577)",German,,,,Baroque,Baroque,"https://imslp.org/wiki/Allein_zu_dir,_Herr_Jesu_Christ,_BWV_261_(Bach,_Johann_Sebastian)"
Partita in A major,,,,"Graupner, Christoph",GWV 849 ; BWV 838 (2nd and 3rd movements),ICG 1142,A major,"5 movements
Prelude
Allemande
Courante
Sarabande
Aria",,,,,,,,Baroque,Baroque,"https://imslp.org/wiki/Allemande_and_Courante_in_A_major,_BWV_838_(Bach,_Johann_Sebastian)"
Allemande,,,,"Kirnberger, Johann Philipp",EngK 74 (BWV 835),IJK 7,A minor,1,,1761?,,,,,,Classical,Classical,"https://imslp.org/wiki/Allemande_in_A_minor,_BWV_835_(Bach,_Johann_Sebastian)"
